# precip,,,,,,
,9,10,9,10,9,10
TIMESTEP,SUM,SUM,STD_DEV,STD_DEV,VARIANCE,VARIANCE
1970-01-01T00:00:00Z,0.437015969,0.437015969,0,0,0,0
1970-01-02T00:00:00Z,1.612329817,1.612329817,0,0,0,0
1970-01-03T00:00:00Z,0.124257599,0.124257599,0,0,0,0
1970-01-04T00:00:00Z,0.856024116,0.856024116,0,0,0,0
1970-01-05T00:00:00Z,0.345284267,0.345284267,0,0,0,0
1970-01-06T00:00:00Z,0.002356491,0.002356491,0,0,0,0
1970-01-07T00:00:00Z,0.700608741,0.700608741,0,0,0,0
1970-01-08T00:00:00Z,0.537758381,0.537758381,0,0,0,0
1970-01-09T00:00:00Z,0.035698062,0.035698062,0,0,0,0
1970-01-10T00:00:00Z,0.230519619,0.230519619,0,0,0,0
1970-01-11T00:00:00Z,0.388231003,0.388231003,0,0,0,0
1970-01-12T00:00:00Z,0.003465059,0.003465059,0,0,0,0
1970-01-13T00:00:00Z,0.017067906,0.017067906,0,0,0,0
1970-01-14T00:00:00Z,0.7337298,0.7337298,0,0,0,0
1970-01-15T00:00:00Z,0.074415628,0.074415628,0,0,0,0
1970-01-16T00:00:00Z,0.893493047,0.893493047,0,0,0,0
1970-01-17T00:00:00Z,1.056555413,1.056555413,0,0,0,0
1970-01-18T00:00:00Z,0.118363401,0.118363401,0,0,0,0
1970-01-19T00:00:00Z,0.001935507,0.001935507,0,0,0,0
1970-01-20T00:00:00Z,0.000772726,0.000772726,0,0,0,0
1970-01-21T00:00:00Z,0.010991148,0.010991148,0,0,0,0
1970-01-22T00:00:00Z,0.190245881,0.190245881,0,0,0,0
1970-01-23T00:00:00Z,0.022047177,0.022047177,0,0,0,0
1970-01-24T00:00:00Z,0.074883992,0.074883992,0,0,0,0
1970-01-25T00:00:00Z,0.084715142,0.084715142,0,0,0,0
1970-01-26T00:00:00Z,1.587978667,1.587978667,0,0,0,0
1970-01-27T00:00:00Z,0.852819839,0.852819839,0,0,0,0
1970-01-28T00:00:00Z,0.139237635,0.139237635,0,0,0,0
1970-01-29T00:00:00Z,0.069367682,0.069367682,0,0,0,0
1970-01-30T00:00:00Z,0.037989424,0.037989424,0,0,0,0
1970-01-31T00:00:00Z,0.031231754,0.031231754,0,0,0,0
1970-02-01T00:00:00Z,0.620844414,0.620844414,0,0,0,0
1970-02-02T00:00:00Z,0.11083188,0.11083188,0,0,0,0
1970-02-03T00:00:00Z,0.140239106,0.140239106,0,0,0,0
1970-02-04T00:00:00Z,0.255483573,0.255483573,0,0,0,0
1970-02-05T00:00:00Z,2.137439673,2.137439673,0,0,0,0
1970-02-06T00:00:00Z,0.203957693,0.203957693,0,0,0,0
1970-02-07T00:00:00Z,0.218777106,0.218777106,0,0,0,0
1970-02-08T00:00:00Z,0.189899801,0.189899801,0,0,0,0
1970-02-09T00:00:00Z,0.60879365,0.60879365,0,0,0,0
1970-02-10T00:00:00Z,0.038155857,0.038155857,0,0,0,0
1970-02-11T00:00:00Z,0.972295941,0.972295941,0,0,0,0
1970-02-12T00:00:00Z,0.500201653,0.500201653,0,0,0,0
1970-02-13T00:00:00Z,6.462242421,6.462242421,0,0,0,0
1970-02-14T00:00:00Z,2.738909793,2.738909793,0,0,0,0
1970-02-15T00:00:00Z,1.818640076,1.818640076,0,0,0,0
1970-02-16T00:00:00Z,0.011103872,0.011103872,0,0,0,0
1970-02-17T00:00:00Z,0.236616461,0.236616461,0,0,0,0
1970-02-18T00:00:00Z,0.024017899,0.024017899,0,0,0,0
1970-02-19T00:00:00Z,3.340281636,3.340281636,0,0,0,0
1970-02-20T00:00:00Z,0.055998891,0.055998891,0,0,0,0
1970-02-21T00:00:00Z,0.149081238,0.149081238,0,0,0,0
1970-02-22T00:00:00Z,2.635638085,2.635638085,0,0,0,0
1970-02-23T00:00:00Z,0.640825666,0.640825666,0,0,0,0
1970-02-24T00:00:00Z,0.265004928,0.265004928,0,0,0,0
1970-02-25T00:00:00Z,3.62027857,3.62027857,0,0,0,0
1970-02-26T00:00:00Z,1.224858419,1.224858419,0,0,0,0
1970-02-27T00:00:00Z,5.80E-05,5.80E-05,0,0,0,0
1970-02-28T00:00:00Z,6.45E-05,6.45E-05,0,0,0,0
1970-03-01T00:00:00Z,0.084205335,0.084205335,0,0,0,0
1970-03-02T00:00:00Z,0.001746171,0.001746171,0,0,0,0
